document_id,target_document,title_as_catalogued,author,date,language,repository,url_or_shelfmark,format,full_text_available,pages_or_extent,is_primary,edition_notes,found_by_search_string,fetched_file,ocr_error_rate
christoffel1858,Zwingli's description of the Prophezei (1525) [contemporary secondary account with quotations/paraphrase of the founding order],"Zwingli: or, The Rise of the Reformation in Switzerland. A Life of the Reformer, with Some Notices of His Time and Contemporaries",Raget Christoffel (trans. from German),1858,en,Internet Archive,https://archive.org/details/zwingliorriseof00chri,text (djvu OCR),yes,~500 pages (pp. 111-115 fetched),no,19th-century scholarly/popular biography; quotes Zwingli's own prayer and Myconius verbatim within its narrative -- those direct quotations are usable but the surrounding narrative is secondary. 1858 English translation; digitized by Internet Archive.,Bullinger Diarium Prophezei; Prophezei Zurich 1525,text/christoffel1858.txt,"not formally sampled (spot-checked; OCR quality moderate -- long-s and ligature errors visible e.g. 'tlie' for 'the', but words legible and recoverable; well under a 5-error/100-word threshold for the passages actually quoted)"
jackson1901,Samuel Macauley Jackson biography (searched for Prophezei founding narrative; found instead the Carolinum rectorship entry and the 30 June 1525 publication of Zwingli's tract on the preaching office),"Huldreich Zwingli, the Reformer of German Switzerland, 1484-1531",Samuel Macauley Jackson,1901,en,Internet Archive,https://archive.org/details/huldreichzwingli0000jack,text (djvu OCR),yes,~450 pages (pp. 267-271 fetched),no,Standard scholarly biography in the 'Heroes of the Reformation' series; cites Zwingli's own works (Op. Zw.) by volume/page in footnotes but this session did not independently fetch those primary volumes.,Prophezei Zurich 1525; Jackson Huldreich Zwingli life work,text/jackson1901.txt,"not formally sampled (spot-checked; OCR quality good, few errors, mostly curly-quote artifacts)"
simpson1902,Simpson biography (searched for Prophezei; found the 1523 Zurich Council reform decree requiring daily Bible exposition in three languages),"Life of Ulrich Zwingli, the Swiss Patriot and Reformer",Samuel Simpson,[1902],en,Internet Archive,https://archive.org/details/lifeofulrichzwin00simprich,text (djvu OCR),yes,~300 pages (pp. 126-128 fetched),no,"Popular biography; the passage used is Simpson's own narrative paraphrase of a Council decree, not a verbatim quotation of the decree itself.",Prophezei Zurich 1525; Zwingli life work biography,text/simpson1902.txt,not formally sampled (spot-checked; OCR quality good)
grob1883,Grob biography (searched for Prophezei; found summary of Zwingli's reforms including the daily biblical discourse and seminary teachers),The Life of Ulric Zwingli,"Jean Grob (trans. I. K. Loos, G. F. Behringer; intro. Andrew Dickson White)",1883,en,Internet Archive,https://archive.org/details/cu31924029225773,text (djvu OCR),yes,~350 pages (pp. 132-134 fetched),no,"Popular biography written for an American Reformed audience; narrative summary, not a primary document.",Prophezei Zurich 1525; Zwingli life work biography,text/grob1883.txt,"not formally sampled (spot-checked; OCR quality good aside from a few running-head misreadings, e.g. 'ZUKICH' for 'ZURICH')"
heinrichbulling00bullgoog,Bullinger's Diarium and Reformationsgeschichte,Heinrich Bullingers Reformationsgeschichte,Heinrich Bullinger (ed. J.J. Hottinger and H.H. Vogeli),1838-1840 (this scan: Google Books digitization),de,Internet Archive (Google Books scan),https://archive.org/details/heinrichbulling00bullgoog,text (djvu OCR),yes (but NEEDS_RETRANSCRIPTION -- see note),3 vols. (~1900 pages total); this session fetched only vol. 1's OCR text,yes,"Bullinger's own eyewitness Reformation history, a primary/near-primary source for Zurich events including the Prophezei. German Fraktur print, badly OCR'd by Google's engine: sampled lines are near-unreadable ('auf Sfrotifialtung in 3<it{<l^' for what should be legible German). No search hits at all for 'Zwingli' or year-strings 1524/1525/1526 in the full fetched text, itself evidence of OCR failure rather than absence of content. NOT used for any quotation or fact this session. Flagged NEEDS_RETRANSCRIPTION per Procedure F step 3.",Bullinger Diarium Prophezei; Bullinger Reformationsgeschichte 1525 text,raw/heinrichbulling00bullgoog_djvu.txt (fetched but not usable; not copied to text/),NEEDS_RETRANSCRIPTION (sampled lines effectively 100% garbled; German Fraktur OCR by a general-purpose engine)
reformationsgesc0000bull,Bullinger's Reformationsgeschichte (alternate scan/edition),Reformationsgeschichte,Heinrich Bullinger,1838-1840 (Internet Archive scan of a physical copy),de,Internet Archive,https://archive.org/details/reformationsgesc0000bull,images (borrow/lending only; no public djvu.txt located),unknown -- not fetched,3 vols.,yes,"Listed by Internet Archive as available for borrowing (controlled digital lending), not freely downloadable OCR text this session. A human with library/ILL access, or a request to the Zentralbibliothek Zurich per the roster's holdings note, would be needed for a clean transcription.",NONE,NOT FETCHED (borrow-only access),n/a
uzh-news-prophezey,English-language scholarly/institutional account of the Prophezei's founding and daily order,"500 Years of the Prophezey (UZH News feature, University of Zurich)",UZH News (Andres Eberhard; trans. Jane Catterall); quotes Judith Engeler (UZH Faculty of Theology),2025 (accessed 2026-09-07),en,web (University of Zurich official site),https://www.news.uzh.ch/en/articles/news/2025/500-years-prophezey.html,html,yes,1 long-form article,no,Published by the University of Zurich's own Faculty of Theology on the Prophezei's 500th anniversary (2025); written with access to current UZH Reformation scholars. Treated as a strong secondary source but not primary.,Prophezei Zurich 1525 daily exegesis Hebrew Greek Latin sermon order,text/uzh-news-prophezey.txt,"n/a (born-digital HTML, no OCR)"
adfontes-prophezei,English-language scholarly account quoting Bruce Gordon's 2021 biography on the Prophezei's founding and daily order,Scholarship at Prayer: Zwingli's Prophezei and the Pastoral Task (Ad Fontes / Davenant Institute),Rhys Laverty; quoting at length Bruce Gordon's Zwingli: God's Armed Prophet (Yale University Press 2021) pp. 142-143,n.d. (contemporary web post; accessed 2026-09-07),en,web (Ad Fontes / Davenant Institute journal),https://adfontesjournal.com/pulpit-and-pew/scholarship-at-prayer-zwinglis-prophezei-and-the-pastoral-task/,html,yes,1 article; two block quotations from a named scholarly monograph,no,"The block quotations are attributed by page number to a specific published academic biography (Gordon 2021) but that book itself was not independently obtained and read this session; the quotation is only as reliable as this blog's transcription. Treated throughout as SECONDARY, never as if Gordon's book were directly consulted.",Prophezei Zurich 1525 daily exegesis Hebrew Greek Latin sermon order; Zwingli Prophezei order archive.org,text/adfontes-prophezei.txt,"n/a (born-digital HTML, no OCR)"
gordon2021-not-fetched,Bruce Gordon's Zwingli: God's Armed Prophet (2021) -- the modern standard scholarly biography quoted at second hand via adfontes-prophezei,Zwingli: God's Armed Prophet,Bruce Gordon,2021,en,not located as a digitized/free full text,NONE,print (Yale University Press; in-copyright),unknown,~450 pages,no,"Standard recent scholarly biography; not located as a digitized full text (in-copyright, no free access found) this session. Flagged for a follow-up Scout pass against a library/JSTOR/Google Books preview.",NONE,NOT FETCHED,n/a
zwinglisamtlichewerke-not-fetched,"Zwingli, Saemtliche Werke (Corpus Reformatorum) -- Zwingli's own writings, including the 1525 tract on the preaching office and any direct ordinance text for the Prophezei",Huldreich Zwinglis Saemtliche Werke (Corpus Reformatorum),"Ulrich Zwingli (critical edition eds. Egli, Finsler, et al.)",1905-,la/de,e-rara.ch; Zentralbibliothek Zurich (per roster holdings),NONE,print / partial digitization,unknown -- not located as a free full-text this session,yes,,The roster's primary recommended holding (Corpus Reformatorum edition). Not located as an openly downloadable full-text this session; e-rara.ch was not successfully queried for a specific readable Prophezei-ordinance volume within this session's time. Flagged for a follow-up Scout/Fetcher pass directly against e-rara.ch and the Zentralbibliothek Zurich digital catalog.,NONE,NOT FETCHED,n/a
